"ID","Category","Name","Severity","Result","Recommended","TestResult","SeverityFinding"
"1.1.1","Account Policies","Length of password history maintained","Passed","24","24","Passed","Low"
"1.1.2","Account Policies","Maximum password age","Low","365","60","Failed","Low"
"1.1.3","Account Policies","Minimum password age","Passed","1","1","Passed","Low"
"1.1.4","Account Policies","Minimum password length","Passed","14","14","Passed","Medium"
"1.1.5","Account Policies","Password must meet complexity requirements","Passed","1","1","Passed","Medium"
"1.1.6","Account Policies","Store passwords using reversible encryption","Passed","0","0","Passed","High"
"1.2.1","Account Policies","Account lockout duration","Passed","30","15","Passed","Low"
"1.2.2","Account Policies","Account lockout threshold","Passed","5","10","Passed","Low"
"1.2.3","Account Policies","Reset account lockout counter","Passed","30","15","Passed","Low"
"2.2.1","User Rights Assignment","Access Credential Manager as a trusted caller","Passed","","","Passed","Medium"
"2.2.2","User Rights Assignment","Access this computer from the network (DC)","Medium","Tout le monde;BUILTIN\Administrateurs;BUILTIN\Utilisateurs;BUILTIN\Opérateurs de sauvegarde","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users","Failed","Medium"
"2.2.3","User Rights Assignment","Access this computer from the network (Member)","Medium","Tout le monde;BUILTIN\Administrateurs;BUILTIN\Utilisateurs;BUILTIN\Opérateurs de sauvegarde","BUILTIN\Administrators;NT AUTHORITY\Authenticated Users","Failed","Medium"
"2.2.4","User Rights Assignment","Act as part of the operating system","Passed","","","Passed","Medium"
"2.2.5","User Rights Assignment","Add workstations to domain (DC)","Medium","","BUILTIN\Administrators","Failed","Medium"
"2.2.6","User Rights Assignment","Adjust memory quotas for a process","Passed","AUTORITE NT\SERVICE LOCAL;AUTORITE NT\SERVICE RÉSEAU;BUILTIN\Administrateurs","BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE","Passed","Medium"
"2.2.7","User Rights Assignment","Allow log on locally","Medium","BUILTIN\Administrateurs;BUILTIN\Utilisateurs;BUILTIN\Opérateurs de sauvegarde","BUILTIN\Administrators","Failed","Medium"
"2.2.8","User Rights Assignment","Allow log on through Remote Desktop Services (DC)","Medium","BUILTIN\Administrateurs;BUILTIN\Utilisateurs du Bureau à distance","BUILTIN\Administrators","Failed","Medium"
"2.2.9","User Rights Assignment","Allow log on through Remote Desktop Services (Member)","Passed","BUILTIN\Administrateurs;BUILTIN\Utilisateurs du Bureau à distance","BUILTIN\Remote Desktop Users;BUILTIN\Administrators","Passed","Medium"
"2.2.10","User Rights Assignment","Back up files and directories","Medium","BUILTIN\Administrateurs;BUILTIN\Opérateurs de sauvegarde","BUILTIN\Administrators","Failed","Medium"
"2.2.11","User Rights Assignment","Change the system time","Passed","AUTORITE NT\SERVICE LOCAL;BUILTIN\Administrateurs","BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE","Passed","Medium"
"2.2.12","User Rights Assignment","Change the time zone","Passed","AUTORITE NT\SERVICE LOCAL;BUILTIN\Administrateurs","BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE","Passed","Medium"
"2.2.13","User Rights Assignment","Create a pagefile","Passed","BUILTIN\Administrateurs","BUILTIN\Administrators","Passed","Medium"
"2.2.14","User Rights Assignment","Create a token object","Passed","","","Passed","Medium"
"2.2.15","User Rights Assignment","Create global objects","Passed","AUTORITE NT\SERVICE LOCAL;AUTORITE NT\SERVICE RÉSEAU;BUILTIN\Administrateurs;AUTORITE NT\SERVICE","NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE","Passed","Medium"
"2.2.16","User Rights Assignment","Create permanent shared objects","Passed","","","Passed","Medium"
"2.2.17","User Rights Assignment","Create symbolic links (DC)","Passed","BUILTIN\Administrateurs","BUILTIN\Administrators","Passed","Medium"
"2.2.18.1","User Rights Assignment","Create symbolic links (Member)","Passed","BUILTIN\Administrateurs","BUILTIN\Administrators","Passed","Medium"
